Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
38810,-0.73,1.95,-0.37,-0.39,0.15,-0.94,27.91,42.16,-59.71
38838,-0.79,1.95,-0.43,-0.39,0.15,-0.93,26.71,43.36,-60.32
38867,-0.79,2.01,-0.43,-0.4,0.15,-0.93,29.11,43.36,-60.32
38899,-0.79,1.95,-0.43,-0.4,0.15,-0.94,27.91,42.91,-59.71
38927,-0.79,1.95,-0.43,-0.4,0.14,-0.93,28.21,43.21,-61.22
38956,-0.79,1.95,-0.43,-0.39,0.16,-0.95,28.81,44.41,-60.32
38984,-0.79,1.95,-0.43,-0.38,0.15,-0.95,28.06,43.06,-60.32
39033,-0.73,1.95,-0.37,-0.39,0.15,-0.95,27.76,43.81,-60.02
39061,-0.79,1.89,-0.37,-0.38,0.15,-0.94,28.66,44.26,-59.41
39090,-0.73,1.95,-0.49,-0.38,0.14,-0.95,26.86,43.51,-60.77
39118,-0.79,1.95,-0.49,-0.39,0.15,-0.95,28.21,43.96,-59.71
